City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,arhribs,36.7936,4.3116,11.71,96,100,2.58,DZ,1708136087
1,ancud,-41.8697,-73.8203,12.31,85,0,2.55,CL,1708136087
2,walvis bay,-22.9575,14.5053,13.53,94,7,2.06,NA,1708136087
3,puerto varas,-41.3195,-72.9854,12.81,92,99,2.58,CL,1708136087
4,acapulco de juarez,16.8634,-99.8901,27.9,78,100,5.14,MX,1708135816
5,adamstown,-25.066,-130.1015,25.06,76,100,3.37,PN,1708136087
6,port-aux-francais,-49.35,70.2167,4.57,76,96,16.12,TF,1708136087
7,palikir - national government center,6.9248,158.1611,30.47,74,75,5.14,FM,1708136087
8,dauphin,51.1494,-100.0502,-7.92,73,0,8.75,CA,1708136087
9,gamba,-2.65,10.0,25.69,87,100,1.45,GA,1708136087
10,mandan,46.8267,-100.8896,-8.01,66,20,6.69,US,1708136087
11,constantia,44.1833,28.65,1.5,79,86,4.83,RO,1708136087
12,belzyce,51.1741,22.2803,2.21,70,80,4.59,PL,1708136087
13,edinburgh of the seven seas,-37.0676,-12.3116,17.85,75,92,9.05,SH,1708136087
14,tiksi,71.6872,128.8694,-36.18,100,100,0.56,RU,1708136088
15,iqaluit,63.7506,-68.5145,-29.15,57,0,1.54,CA,1708136088
16,turbat,26.0023,63.044,19.13,45,54,0.45,PK,1708136088
17,sabha,27.0377,14.4283,13.08,34,0,3.3,LY,1708136088
18,grytviken,-54.2811,-36.5092,3.01,91,30,4.51,GS,1708136088
19,san jose del cabo,23.0589,-109.6977,22.08,71,20,2.57,MX,1708135929
20,thompson,55.7435,-97.8558,-12.91,85,75,2.57,CA,1708136088
21,tulun,54.5611,100.5792,-23.71,87,100,5.18,RU,1708136088
22,vernon,50.2581,-119.2691,-2.65,68,8,1.03,CA,1708136088
23,ushuaia,-54.8,-68.3,14.81,63,0,4.12,AR,1708136088
24,sisimiut,66.9395,-53.6735,-12.13,84,100,3.68,GL,1708136088
25,nantucket,41.2835,-70.0995,1.08,55,0,4.12,US,1708136088
26,zhanaozen,43.3,52.8,-5.52,56,100,10.3,KZ,1708136089
27,tazovsky,67.4667,78.7,-33.39,100,34,1.84,RU,1708136089
28,port lincoln,-34.7333,135.8667,23.08,54,100,3.85,AU,1708136089
29,waitangi,-43.9535,-176.5597,15.6,73,7,2.27,NZ,1708136022
30,blackmans bay,-43.0167,147.3167,24.74,54,26,0.45,AU,1708136089
31,weno,7.4515,151.8468,29.97,74,75,4.63,FM,1708136089
32,ust-nera,64.5667,143.2,-36.23,95,66,0.18,RU,1708136089
33,puerto aysen,-45.4,-72.7,10.71,98,56,2.47,CL,1708135803
34,atafu village,-8.5421,-172.5159,28.46,78,80,6.53,TK,1708136045
35,hermanus,-34.4187,19.2345,12.67,69,98,1.26,ZA,1708136089
36,yellowknife,62.456,-114.3525,-6.99,80,20,6.71,CA,1708136089
37,papatowai,-46.5619,169.4708,17.88,60,83,1.54,NZ,1708136089
38,albany,42.6001,-73.9662,-1.85,65,99,1.88,US,1708135974
39,lompoc,34.6391,-120.4579,14.45,87,40,2.57,US,1708136031
40,dadukou,26.5479,101.7054,13.93,39,0,0.72,CN,1708136090
41,at taj,24.2049,23.2857,9.17,55,0,2.68,LY,1708136090
42,ribeira grande,38.5167,-28.7,17.65,93,100,9.39,PT,1708136090
43,st. john's,47.5649,-52.7093,-1.79,95,26,0.45,CA,1708136042
44,sao joao da barra,-21.6403,-41.0511,24.0,89,31,1.89,BR,1708136090
45,lazaro cardenas,17.9583,-102.2,25.56,70,100,4.35,MX,1708136090
46,port-vila,-17.7338,168.3219,28.78,84,75,7.72,VU,1708136022
47,theunissen,-28.411,26.7011,10.08,29,1,2.69,ZA,1708136090
48,gapyeong,37.831,127.5106,2.36,54,4,1.3,KR,1708136090
49,saipan,15.1355,145.701,29.39,74,20,7.2,MP,1708136032
50,kruisfontein,-34.0033,24.7314,16.05,80,2,7.68,ZA,1708136090
51,newman,37.3138,-121.0208,14.6,83,100,0.89,US,1708136090
52,camayenne,9.535,-13.6878,27.05,89,40,2.06,GN,1708136090
53,zemio,5.0314,25.1361,25.57,62,100,2.01,CF,1708136090
54,ouallam,14.3188,2.0866,21.34,12,74,3.95,NE,1708136091
55,abu jibeha,11.4562,31.2285,21.33,17,48,4.55,SD,1708136091
56,nassau,40.7507,-73.5829,3.82,60,20,0.0,US,1708136091
57,aasiaat,68.7098,-52.8699,-14.96,92,100,1.7,GL,1708136091
58,aral,40.5156,81.2636,0.1,32,100,4.94,CN,1708136091
59,anadyr,64.75,177.4833,-17.72,85,75,3.0,RU,1708136091
60,puerto ayora,-0.7393,-90.3518,28.08,93,28,0.89,EC,1708136091
61,rio grande,-32.035,-52.0986,22.19,80,91,7.65,BR,1708135839
62,le morne-rouge,14.7667,-61.1333,22.76,77,21,5.24,MQ,1708136091
63,talnakh,69.4865,88.3972,-34.21,87,33,1.85,RU,1708136091
